CD_MUN;NM_MUN;nitrogen_m;nitrogen_s;clay_mean;clay_sd;cec_mean;cec_sd;sand_mean;sand_sd;ph_mean;ph_sd;soc_mean;soc_sd
3511201;Catiguá;910.85;39;336.79;18.59;72.34;4.61;535.79;27.33;55.81;0.47;99.59;5.43
3511300;Cedral;927.25;42;321.46;23;72.4;5.21;556.9;39.51;55.74;0.63;104.43;4.63
3511409;Cerqueira César;1287.27;72;369.66;13.83;109.19;11.15;423.23;21.37;54.35;0.62;150.01;17.12
3511508;Cerquilho;1226.1;32;415.89;15.16;97.45;6.11;401.91;19.35;53.8;0.65;131.68;6.81
3511607;Cesário Lange;1242.06;57;425.61;16.06;100.02;5.17;400.47;15.49;53.33;0.6;133.48;8.58
3511706;Charqueada;1140.08;88;458.04;24.28;99.45;4.85;386.33;31.7;52.64;0.5;131.92;19.44
3511904;Clementina;1020.31;34;336.41;13.53;86.32;3.24;488.17;18.62;55.93;0.49;102.76;6.04
3512001;Colina;945.39;45;369.09;23.36;75.61;6.75;489.12;29.25;54.77;0.47;111.65;6.23
3512100;Colômbia;918.53;73;360.84;24.4;77.17;13.24;487.91;35.75;54.44;0.44;114.75;17.94
3512209;Conchal;1136.9;64;452.1;14.68;93.72;14.41;399.17;16.8;53.63;0.42;124.34;8.25
3512308;Conchas;1174.7;35;420.26;22.33;93.87;7.73;393.36;43.14;54.33;0.54;132.32;8.75
3512407;Cordeirópolis;1180.3;58;486.71;23.92;93.36;8.43;342.48;30.1;53.81;0.62;140.96;11.66
3512506;Coroados;1024.16;39;323.81;17.78;88.63;6.1;501.03;23.89;56.06;0.4;113.27;8.22
3512605;Coronel Macedo;1399.45;52;390.28;12.18;152.21;15.69;399.66;15.4;54.33;0.53;166.53;12.26
3512704;Corumbataí;1225.81;84;453.86;27.39;95.07;7.86;381.13;25.87;53.74;0.62;140.87;13.45
3512803;Cosmópolis;1170.05;47;453.94;17.24;93.5;6.5;395.55;21.28;53.62;0.57;131.64;10.78
3512902;Cosmorama;944.79;68;323.21;18.92;75.9;8.05;556.6;31.5;55.31;0.45;107.97;5.69
3513009;Cotia;1792.93;184;382.2;16.8;133.94;20.23;444.42;17.13;50.86;1.2;221.39;31
3513108;Cravinhos;1164.2;51;436.35;26.98;90.53;10.56;282.24;46.63;55.85;1.3;142.86;19.39
3513207;Cristais Paulista;1044.46;102;340.63;42.69;67.8;13.16;510.73;56.62;53.45;0.53;159.48;23.85
3513306;Cruzália;1432.63;137;457.59;26.99;157.39;21.22;322.38;28.66;56.18;0.7;149.08;18.94
3513405;Cruzeiro;1641.75;602;389.69;32.39;123.55;15.78;451.14;24.15;50.85;0.7;180.41;62.87
3513504;Cubatão;2862.47;302;426.44;19.3;238.68;24.85;312.98;24.5;51.55;0.63;702.33;122.42
3513603;Cunha;1715.32;339;386.77;53.3;119.65;10.23;432.49;32.14;51.14;0.62;182.53;35.38
3513702;Descalvado;1171.11;114;430.61;22.18;86.12;8.05;407.57;29.09;53.8;0.46;140.27;21.16
3513801;Diadema;1655.71;124;383.15;9.81;135.92;12.5;399.85;23.94;50.81;1.03;259.71;26.36
3513850;Dirce Reis;957.76;67;307.22;24.72;87.02;4.72;525.19;29.98;57.38;0.52;98.63;4.56
3513900;Divinolândia;1563.15;156;401.79;23.7;97.88;8.54;358.06;43.6;52.41;0.68;189.33;37.06
3514007;Dobrada;1009.93;32;425.42;17.46;80.02;4.74;404.98;26.65;55.09;0.45;119.28;6.09
3514106;Dois Córregos;1207.26;78;434.58;22.95;91.78;10.91;407.43;28.06;53.62;0.71;140.79;13.4
3514205;Dolcinópolis;870.39;31;309.83;30.77;82.66;3.5;550.9;32.12;56.34;0.32;95.57;3.64
3514304;Dourado;1156.71;70;427.07;22.27;92.72;10.26;412.2;31.42;54.45;0.67;133.69;13.82
3514403;Dracena;1030.09;40;293.14;19.35;90.65;10.11;588.72;33.69;56.59;0.75;100.44;6.88
3514502;Duartina;1215.06;63;357.86;13.93;93.96;8.03;482.5;21.17;54.56;0.41;137.64;9.67
3514601;Dumont;1049.71;44;444.93;11.19;92.57;8.23;344.62;26.89;55.83;0.47;130.37;11.51
3514700;Echaporã;1208.17;86;340.89;15.55;92.49;8.7;472.23;27.74;55.04;0.6;138.95;16.56
3514809;Eldorado;2262.19;322;407.79;16.06;193.52;11.59;391.31;35.41;51.72;0.55;291.43;45.96
3514908;Elias Fausto;1226.38;42;405.59;17.39;96.75;6.89;437.15;24.16;53.07;0.55;133.22;7.78
3514924;Elisiário;949.67;37;341.17;14.69;81.04;6.43;494.23;25.34;56.07;0.34;102.99;5.2
3514957;Embaúba;961.82;49;348.07;22.32;86.1;11.13;528.01;26.9;55.14;0.37;111.35;5.44
3515004;Embu das Artes;1635.71;61;401.03;8.01;126.74;10.62;443.03;14.92;51.71;0.92;218.09;12.5
3515103;Embu-Guaçu;1908.01;95;398.75;13.93;169.12;15.62;361.16;22.94;50.43;0.49;256.02;18.28
3515129;Emilianópolis;1085.21;52;319.5;13.1;93.44;8.33;541.08;19.59;56.93;0.51;107.16;5.74
3515152;Engenheiro Coelho;1157.41;35;456.45;14.95;90.92;6.12;390.36;15.18;53.6;0.39;126.85;11.23
3515186;Espírito Santo do Pinhal;1438.55;126;398.1;18.53;121.05;7.68;389.04;17.71;53.55;0.61;151.97;14.55
3515194;Espírito Santo do Turvo;1218.24;43;371.39;20.25;95.86;7.05;451.75;29.77;54.42;0.47;132.74;10.51
3515202;Estrela d'Oeste;953.71;43;297.16;22.71;85.84;5.24;558.7;28.9;57.03;0.4;103.57;5.35
3515301;Estrela do Norte;1194.33;48;380.36;13.24;114.26;17.69;465.1;20.28;55.66;0.49;124.62;8.02
3515350;Euclides da Cunha Paulista;1107.43;47;354.58;21.62;121.51;10.75;487.86;24.2;57.12;0.7;117.68;13.7
3515400;Fartura;1470.1;137;401.86;15.9;109.82;8.98;402.58;11.92;54.29;1.04;173.87;33.84
3515509;Fernandópolis;958.02;38;302.83;17.86;79.41;5.66;560.11;25.59;56.63;0.48;102.96;5.79
3515608;Fernando Prestes;936.59;35;395.19;13.34;84.83;7.66;452.84;15.86;55.33;0.34;111.26;5.34
3515657;Fernão;1176.14;70;339.05;12.36;86.8;9.09;497.81;15.25;54.6;0.38;133.47;12.52
3515707;Ferraz de Vasconcelos;1656.41;71;394.38;11.87;157.7;9.81;428.07;21.85;50.48;1.09;235.25;13.98
3515806;Flora Rica;1040.75;36;307.3;15.56;85.03;8.05;565.7;23.91;56.76;0.52;99.7;5.7
3515905;Floreal;985.3;37;312.55;18.6;83.98;6.66;536.9;26.62;56.4;0.44;102.47;5.37
3516002;Flórida Paulista;1026.29;36;305.24;19.33;90.59;6.97;560.08;31.05;56.9;0.65;97.75;5.91
3516101;Florínea;1211;107;426.91;17.29;127.72;18.07;361.67;27.59;55.55;0.8;142.16;24.44
3516200;Franca;1121.61;105;340.5;45.67;72.48;13.43;497.05;57.43;53.6;0.69;160.11;20.51
3516309;Francisco Morato;1489.44;99;433.78;9.2;107.21;8.25;430.18;8.62;53.91;0.74;183.94;12.74
3516408;Franco da Rocha;1516.99;95;438.24;12.05;105.46;8.94;432.99;11.48;53.8;0.56;195.7;16.75
3516507;Gabriel Monteiro;999.11;29;328.53;16.42;81.74;3.97;500.24;21.5;55.98;0.48;100.98;5.03
3516606;Gália;1269.38;92;345;12.89;100.93;14.29;488.35;16.59;54.61;0.53;150.46;15.77
3516705;Garça;1318.99;78;353.19;14.63;103.06;11.85;477.33;23.96;55.05;0.7;156.86;12.48
3516804;Gastão Vidigal;1010.23;40;314.12;18.9;90.48;8.95;515.6;19.14;57.03;0.36;100.97;5.04
3516853;Gavião Peixoto;1073.17;37;429.61;24.1;93.37;7.88;401.6;28.99;54.43;0.62;120.98;6.38
3516903;General Salgado;1014.83;45;317.47;19.43;85.11;7.28;524.42;27.67;57.11;0.53;103.63;6.01
3517000;Getulina;1043.33;40;328.59;15.71;81.41;7.6;495.63;25.83;55.38;0.76;105.99;7.7
3517109;Glicério;1008.79;42;334.63;18.78;90.07;8.55;487.76;23.62;56.11;0.71;118.11;19.2
3517208;Guaiçara;1032.23;48;307.01;19.14;80.16;5.91;515;27.75;54.93;0.67;114.04;23.83
3517307;Guaimbê;1077.91;48;331.86;17.86;79.48;5.57;503.32;25.85;54.86;0.43;112.64;10.36
3517406;Guaíra;951.81;66;371.45;21.31;86.66;10.91;471.59;24.78;54.52;0.5;123.1;13.43
3517505;Guapiaçu;914.84;49;319.73;18.97;79.54;9.66;572.28;28.87;55.05;0.45;104.47;5.22
3517604;Guapiara;1843.01;164;373.48;14.46;180.84;12.46;422.61;23.77;51.82;1.05;249.13;29.6
3517703;Guará;945.75;48;392.12;18.63;94.8;13.34;452.54;20.03;54.63;0.59;153.76;23.63
3517802;Guaraçaí;1037.46;50;276.24;15.61;91.55;7.14;590.69;27.37;57.49;0.77;96.48;6.62
3517901;Guaraci;960.01;87;362.07;21.04;72.61;6.74;500.04;27.58;54.83;0.54;111.18;19.98
3518008;Guarani d'Oeste;950.16;36;302.57;10.36;80.75;6.44;563.56;12.94;56.82;0.22;102.18;5.47
3518107;Guarantã;1063.51;68;346.82;17.62;85.3;9.72;473.25;22.7;54.88;0.65;117.71;12.13
3518206;Guararapes;1010.12;41;322.5;21.2;88.48;6.08;511.23;30.15;56.7;0.59;103.92;7.48
3518305;Guararema;1657.26;58;388.4;10.43;142.57;18.93;452.99;23.6;51.27;1.19;225.93;15.4
3518404;Guaratinguetá;1629.55;472;396;36.09;129.14;19.8;449.31;26.36;51.42;0.86;185.31;62.74
3518503;Guareí;1377.97;80;392.57;14.01;113.13;11.21;436.96;19.79;53.27;0.53;157.5;19.36
3518602;Guariba;1007.95;36;426.18;18.76;84.63;8.5;412.77;33.72;55.14;0.52;126.02;10.93
3518701;Guarujá;2764.44;441;410.43;11.78;243.92;32.48;302.28;27.4;51.66;0.65;838.08;154.64
3518800;Guarulhos;1756.27;178;398.02;19.42;138.72;15.75;437.85;19.45;52.68;1.03;220.78;23.24
3518859;Guatapará;1072.57;66;429.96;21.25;94.74;10.4;365.41;29.67;55.13;0.76;125.11;12.27
3518909;Guzolândia;1012.79;45;286.62;13.09;82.35;4.4;573.79;22.94;57.54;0.44;99.24;5.91
3519006;Herculândia;1096.95;49;326.25;17.65;81.42;7.01;492.9;25.09;55.04;0.45;111.33;7.58
3519055;Holambra;1184.03;44;417.7;19.23;85.04;6.22;434.32;19.83;53.7;0.5;131.14;7.76
3519071;Hortolândia;1155.84;37;397.73;16.75;87.41;5.11;457.33;23.93;53.23;0.58;141.48;8.92
3519105;Iacanga;1043.13;39;362.84;25.43;82.83;6.66;458.84;30.55;55.23;0.79;114.48;12.93
3519204;Iacri;1053.77;47;321.73;12.65;85.85;6.38;512.63;20.14;55.73;0.55;108.55;6.95
3519253;Iaras;1178.62;58;369.86;18.34;97.51;10.73;431.54;34.52;54.67;0.57;137.56;11.9
3519303;Ibaté;1092.5;43;435.51;20.48;84.21;12.88;425.04;32.54;53.58;0.51;134.5;11.37
3519402;Ibirá;960.76;44;347.17;18.01;76.93;5.39;488.26;22.07;56.31;0.38;105.02;5.28
3519501;Ibirarema;1265.93;78;434.48;24.17;140.37;13.25;342.01;27.08;56.02;0.9;149.36;14.08
3519600;Ibitinga;1028.44;39;374.83;20.67;87.47;10.04;452.89;27.55;55.62;0.56;114.75;14.84
3519709;Ibiúna;1875.69;200;382.65;13.85;150.66;33.75;422.67;35.74;50.71;1.36;259.8;47.92
3519808;Icém;942.11;84;347.18;23.67;74.16;10;526.98;27.8;54.74;0.55;110.56;19.85
3519907;Iepê;1120.45;54;414.47;29.8;102.37;13.11;399.9;44.04;54.81;0.9;138.71;22.81
3520004;Igaraçu do Tietê;1150.49;45;435.23;10.38;103.05;6.8;401.25;16.54;54.71;0.68;135.03;17.25
3520103;Igarapava;1021.6;95;367.37;16.79;87.89;14.56;482.51;27.32;54.74;0.49;142.58;19.28
3520202;Igaratá;1784.4;174;415.32;18.88;129.44;13.46;441.5;20.08;51.57;0.92;237.66;34.52
3520301;Iguape;2560.65;245;367.57;44.67;234.81;29.11;363.24;53.52;49.8;0.6;427.81;84.67
3520400;Ilhabela;2140.74;284;437.84;19.62;203.34;24.12;324.76;15.51;50.85;0.53;397.86;60.96
3520426;Ilha Comprida;2591.81;253;323.7;19.14;244.34;11.88;408.04;22.31;50.73;1.02;457.36;86.12
3520442;Ilha Solteira;969.82;54;294.63;24.44;80.6;7.96;541.64;37.43;56.41;0.72;107.36;26.92
3520509;Indaiatuba;1255.13;64;395.82;13.79;93.07;6.9;460.48;24.2;52.84;0.81;145.54;18.96
3520608;Indiana;1092.18;42;317.62;10.24;77.5;4.17;519.67;15.97;56.47;0.46;116.82;8.49
3520707;Indiaporã;905.11;63;325.52;19.85;81.6;6.12;541.5;23.3;56.79;0.43;110.59;22.06
3520806;Inúbia Paulista;1039.47;41;326.44;19.58;91.6;7.91;535.67;27.17;56.16;0.46;110.23;6.68
3520905;Ipaussu;1339.23;110;396.45;16.11;107.23;10.09;416.49;19.02;54.36;0.52;161.53;34.89
3521002;Iperó;1345.74;178;411.72;17.38;97.34;6.37;440.64;11.79;54;0.83;159.34;27.13
3521101;Ipeúna;1178.79;103;448.36;18.31;97.31;6.06;382.24;22.88;53.2;0.53;141.67;26.54
3521150;Ipiguá;918.46;52;306.6;15.49;74.5;7.3;580.82;28.68;54.54;0.61;104.15;5.89
3521200;Iporanga;2164.21;343;413.68;19.49;188.65;14.11;386.36;27.83;52.47;0.7;288.2;35.61
3521309;Ipuã;951.71;60;407.56;20.02;92.52;14.7;434.63;18.95;54.9;0.45;128.44;10.9
3521408;Iracemápolis;1160.31;47;482.77;35.92;95.97;6.75;357.61;42.86;53.23;0.48;137.29;14.47
3521507;Irapuã;1015.24;33;339.65;20.17;80.18;4.31;477.79;25.41;56.28;0.39;105.54;15.92
3521606;Irapuru;1053.03;41;295.92;15.18;92.58;10.5;582.69;22.64;57.07;0.65;99.28;6.03
3521705;Itaberá;1445.4;67;383.71;11.93;146.21;18.73;410.75;17.39;54.5;0.68;167.84;12.56
3521804;Itaí;1354.19;70;368.68;14.45;130.63;12.5;447.19;16.58;55.12;0.93;164.56;18.54
3521903;Itajobi;964.98;41;358.58;19.01;78.99;5.72;472.75;24.11;55.59;0.44;103.33;4.5
3522000;Itaju;1060.96;39;382.15;17.94;92.07;9.46;440.81;21.29;55.56;0.73;120.24;16.8
3522109;Itanhaém;2076.72;156;398.26;30.54;207.73;31.68;374.71;41.65;50.2;0.61;340.6;50.99
3522158;Itaoca;2211.86;415;428.72;13.61;209.85;12.28;355.87;17.89;53.91;0.8;286.8;34.29
3522208;Itapecerica da Serra;1808.44;154;385.9;17.48;141.81;13.22;419.38;17.65;49.74;1.09;234.02;18.25
3522307;Itapetininga;1388.38;81;367.88;16.57;122.48;18.25;461.9;17.11;53.7;0.75;162.5;14.66
3522406;Itapeva;1547.6;136;376.89;13.41;153.29;16.77;429.54;18.01;54.26;0.92;186.29;20.6
3522505;Itapevi;1666.78;100;397.72;9.7;117.12;12.51;461.4;8.28;53.19;0.89;214.31;14.8
3522604;Itapira;1367.66;130;401.79;12.87;107.42;9.04;414.89;16.7;54.03;0.6;147.12;14.14
3522653;Itapirapuã Paulista;2073.44;163;417.53;14.08;217.27;11.18;357.68;17.35;52.8;0.89;284.38;21.2
3522703;Itápolis;965.24;48;376.44;18.74;85.72;7.05;463.48;24.11;55.63;0.51;106.2;5.54
3522802;Itaporanga;1366.48;45;386.96;10.88;130.29;10.37;405.47;13.27;54.72;0.65;156.65;13.29
3522901;Itapuí;1085.01;53;405.65;15.55;96.96;10.99;433.72;21.99;54.7;1.13;135.25;20.17
3523008;Itapura;967.19;65;296.33;25.75;82.47;6.83;537.95;48.17;56.49;0.92;103.23;27.31
3523107;Itaquaquecetuba;1680.15;59;377.17;6.84;137;10.26;452.85;8.73;52.88;0.81;223.1;22.43
3523206;Itararé;1599.64;243;379.02;14.48;152.26;22.77;399.66;14.89;53.58;0.96;189.81;34.74
3523305;Itariri;2048.37;413;429.11;17.03;175.25;17.98;345.63;21.07;49.9;0.5;298.25;86.82
3523404;Itatiba;1465.73;107;433.9;13.6;99.24;6.7;428.53;14.36;52.99;0.46;158.7;14.97
3523503;Itatinga;1482.2;125;361.87;17.96;130.45;17.29;452.51;28.48;53.73;0.6;189.58;21.07
3523602;Itirapina;1227.61;158;416.47;26.78;90.84;14.09;436.51;32.77;53.44;0.69;157.98;37.34
3523701;Itirapuã;1105.07;92;387.1;25.69;86.42;9.12;426.7;35.51;53.6;0.41;165.93;20.84
3523800;Itobi;1198.21;119;402.06;26.4;90.65;6.68;410.94;24.08;53.7;0.37;133.49;12.87
3523909;Itu;1340.9;112;388.62;15.68;103.19;9.09;465.14;18.33;54.22;0.98;178.82;28.75
3524006;Itupeva;1352.92;73;419.54;15.25;102.02;7.71;436.68;18.96;53.05;0.59;167.5;25.41
3524105;Ituverava;954.01;61;390.98;19.24;95.47;15.95;451.82;26.96;54.57;0.58;143.03;12.67
3524204;Jaborandi;990.52;56;383.98;23.43;90.24;9.45;459.43;21.66;55.32;0.64;120.32;10.16
3524303;Jaboticabal;981.25;41;423.96;17.92;82.63;7.73;405.97;29.49;55.49;0.62;125.43;8.14
3524402;Jacareí;1652.3;72;417.78;23.06;118.33;11.4;435.65;20.91;52.3;0.64;217.48;25.47
3524501;Jaci;935.12;34;314.21;13.53;81.34;5.16;548.09;31.44;56.21;0.37;104.68;7.1
3524600;Jacupiranga;2304.32;237;417.41;35.21;198.73;18.73;345.93;65.8;50.11;0.89;311.7;53.24
3524709;Jaguariúna;1220.04;80;418.33;14.85;92.08;6.26;431.27;19.31;53.94;0.47;134.34;11.3
3524808;Jales;934.01;46;292.67;18.12;87.59;5.43;560.69;25.45;57.29;0.43;101.19;6.81
3524907;Jambeiro;1662.2;129;456.2;17.23;114.63;12.11;404.54;19.3;52.86;0.65;217;23.4
3525003;Jandira;1553.8;53;386.09;8.84;123;7.49;453.54;7.04;53.63;0.98;197.79;10.28
3525102;Jardinópolis;1053.51;68;430.32;19.78;105.63;9.93;356.09;23.87;55.63;0.67;145.4;29.88
3525201;Jarinu;1481.05;69;437.54;11.32;100.34;6.1;430.18;7.6;53.02;0.47;157.96;12.31
3525300;Jaú;1119.23;52;419.34;22.24;96.71;8.62;418.1;31.69;54.06;0.84;133.96;14.11
3525409;Jeriquara;978.4;50;352.69;17.06;70.61;9.97;518.47;21.84;53.81;0.41;146.89;10.66
3525508;Joanópolis;1943.09;267;389.33;39.33;118.85;9.42;426.95;29.43;51.17;0.85;212.02;47.08
3525607;João Ramalho;1131.65;45;345.89;24.85;89.6;10.08;476.63;36.03;54.71;0.56;122.86;10.84
3525706;José Bonifácio;989.52;51;313.98;18.86;82;5.97;512.23;24.91;56.72;0.44;103.59;10.32
3525805;Júlio Mesquita;1122.16;62;331.14;15.27;78.85;6.66;493;14.52;54.86;0.45;124.99;11.62
3525854;Jumirim;1209.37;32;432.21;17.3;101;4.69;362.2;16.54;53.94;0.46;136.43;6.37
3525904;Jundiaí;1511.04;278;421.73;30.99;102.76;8.69;440.95;24.86;54.04;1.53;185.29;42.75
3526001;Junqueirópolis;1035.2;42;295.88;14.32;98.21;12.91;576.43;23.53;57.19;1.02;97.55;6.32
3526100;Juquiá;2198.16;216;398.1;18.43;198.86;17.77;370.07;31.82;50.96;0.68;292.72;32.64
3526209;Juquitiba;1862.07;119;406.22;15.96;174.52;14.36;372.44;31.56;49.81;0.55;268.4;24.35
3526308;Lagoinha;1508.77;193;423.32;27.06;115.09;6.48;430.6;21.69;51.31;0.52;165.09;20.41
3526407;Laranjal Paulista;1170.43;33;432.49;19.68;96.12;7.3;374.71;28.94;54.13;0.73;129.52;7.6
3526506;Lavínia;1024.81;40;306.76;16.97;90.75;5.19;554.51;24.8;57.19;0.54;99.3;12.25
3526605;Lavrinhas;1735.91;718;407.3;40.87;122.42;24.88;430.89;21.01;51.49;0.65;187.92;70.18
3526704;Leme;1107.91;65;446.07;30.54;86.5;6.37;378.11;27.55;53.82;0.51;127.26;10.35
3526803;Lençóis Paulista;1173.78;103;379.82;18.25;101.1;15.93;449.21;20.89;54.13;0.63;139.79;19.48
3526902;Limeira;1141.59;41;435.68;34.27;90.81;5.35;422.5;47.33;53.09;0.54;126.72;6.83
3527009;Lindóia;1485.7;98;407.48;14.59;102.84;6.6;402.59;10.76;53.52;0.4;161.27;14.09
3527108;Lins;1043.49;40;320.09;20.44;78.24;4.85;504.46;30.37;54.74;0.57;111.18;14.79
3527207;Lorena;1428.86;135;409.29;18.66;125.33;12.14;448.11;39.14;51.09;0.78;156.98;13.76
3527256;Lourdes;1039.23;54;315.71;21.4;90.06;11.2;503.44;30.05;57.12;0.44;107.69;13.27
3527306;Louveira;1315.38;87;437.78;9.41;95.25;4.54;422.95;8.87;52.99;0.54;148.42;8.85
3527405;Lucélia;1029.54;40;325.28;17.49;89.11;6.38;532.87;22.15;56.26;0.46;100.9;6.54
3527504;Lucianópolis;1153.97;40;352.64;16.71;84.87;8.12;478;23.76;54.3;0.48;131.8;10.27
3527603;Luís Antônio;1139.12;70;421.89;33.41;98.75;17.73;370.54;37.53;54.34;0.53;126.02;13.67
3527702;Luiziânia;1042.23;46;330.9;17.14;81.08;4.64;475.92;18.3;56.02;0.5;100.44;7.76
3527801;Lupércio;1293.14;85;356.42;18.21;91.25;8.71;476.37;21.8;55.07;0.41;153.74;14.09
3527900;Lutécia;1145.15;49;340.08;17.36;90.84;6.37;478.43;28.51;55.26;0.57;129.81;11.47
3528007;Macatuba;1107.19;43;407.2;20.03;97.27;8.36;427.08;25.74;54.63;0.61;131.06;11.52
3528106;Macaubal;967.95;38;307.76;17.02;83.13;5.19;540.65;26.55;56.55;0.45;99.44;4.74
3528205;Macedônia;912.58;37;318.34;16.53;84.96;5.75;549.99;19.91;56.8;0.38;104.03;8.34
3528304;Magda;1007.93;47;315.84;15.67;84.1;7.07;535.91;20.98;56.7;0.43;103.02;4.79
3528403;Mairinque;1555.06;136;374.43;18.5;100.97;8.64;482.03;17.53;53.9;0.74;203.23;22.64
3528502;Mairiporã;1718.77;162;428.81;23.68;109.68;9.47;431.67;15.88;53.03;0.53;204.23;21.19
3528601;Manduri;1286.42;57;370.66;13.12;103.11;8.04;423.66;18.95;54.28;0.65;146.09;15.12
3528700;Marabá Paulista;1099;46;344.16;12.8;109.53;11.91;495.64;19.65;58.35;0.88;115.08;10.41
3528809;Maracaí;1246.65;143;432.55;36.41;126.56;23.37;364.43;51.96;55.09;0.81;144.45;18.24
3528858;Marapoama;967.26;36;358.28;17.51;77.4;4.77;476.87;19.2;55.66;0.46;102.86;4.2
3528908;Mariápolis;1025.99;39;300.17;16.1;86.87;6.32;559.75;22.09;56.96;0.51;99.24;4.35
3529005;Marília;1199.87;116;343.12;14.76;87.07;8.98;474.31;20.83;55.24;0.6;137.94;20.91
3529104;Marinópolis;1002.67;37;279.99;8.97;86.78;6.32;588.64;22.67;57.81;0.4;99.53;4.45
3529203;Martinópolis;1082.09;50;338.79;33.72;87.96;9.4;492.99;38.36;55.8;0.85;114.84;11.01
3529302;Matão;1034.52;43;412.98;25.55;83.91;7.68;417.33;27.37;54.46;0.45;120.03;9.37
3529401;Mauá;1825.27;121;402.37;10.46;171.27;10.06;359.32;18.24;51;0.85;277.98;25.39
3529500;Mendonça;1020.67;44;324.85;24.39;80.21;7.13;490.2;25.27;56.81;0.4;109.71;18.01
3529609;Meridiano;967.69;49;318.83;20.64;76.91;5.78;551.01;20.74;56.35;0.48;102.24;5.57
3529658;Mesópolis;883.87;36;343.03;23.76;82.72;6.3;516.7;26.12;56.34;0.41;103.65;14.75
3529708;Miguelópolis;928.04;61;378.46;31.05;86.15;13.46;471.97;39.76;54.71;0.61;131.53;21.92
3529807;Mineiros do Tietê;1217.8;82;421.87;22.88;94.98;8.17;417.31;26.18;53.45;0.72;146.21;14.29
3529906;Miracatu;2028.85;197;428.58;24.09;185.42;17.21;322.4;25.72;50.15;0.57;279.16;32.75
3530003;Mira Estrela;897.69;52;322.33;13.9;78.94;5.2;542.77;18.06;56.77;0.48;111.69;22.89
3530102;Mirandópolis;1042.39;55;288.7;18.35;91.2;7.01;577.04;27.59;57.18;0.61;98.28;9.17
3530201;Mirante do Paranapanema;1131.53;51;359.51;17.63;116.42;12.14;478.31;23.9;58.12;0.97;112.94;8.13
3530300;Mirassol;961.06;44;311.46;14.74;78.53;5.78;565.78;34.51;56.19;0.45;105.91;7.06
3530409;Mirassolândia;917.49;54;307.79;17.7;74.85;5.88;582.39;27.78;54.48;0.35;106.02;5.07
3530508;Mococa;1127.16;98;419.15;24.27;90.87;6.84;385.33;30.3;54.26;0.48;125.51;14.08
3530607;Mogi das Cruzes;1772.5;186;398.24;24.65;158.78;25.5;402.39;57.06;50.72;0.96;261.47;52.51
3530706;Mogi Guaçu;1167.79;102;417.05;21.23;98.63;15.28;416.37;24.41;53.79;0.53;132.15;14.48
3530805;Mogi Mirim;1184.74;57;431.95;17.13;97.21;8.52;418.19;20.64;53.9;0.45;129.7;8.55
3530904;Mombuca;1170.29;32;437.8;21.57;94.14;5.5;400.34;29.65;53.68;0.68;129.56;11.24
3531001;Monções;983.69;36;316.29;15.69;85.52;8.44;511.17;16.22;57.07;0.32;99.03;4.83
3531100;Mongaguá;2178.5;250;418.57;27.62;213.31;31.33;340.36;37.58;50.25;0.63;410.43;80.95
3531209;Monte Alegre do Sul;1686.87;115;425.83;14.74;102.75;4.43;394.02;10.6;52.54;0.51;173.93;13.15
3531308;Monte Alto;986.99;57;395.89;17.98;81.82;7.23;432.49;20.28;55.08;0.37;121.87;10.58
3531407;Monte Aprazível;934.03;42;312.3;13.98;79.29;6.01;568.77;24.97;55.86;0.59;103.35;5.69
3531506;Monte Azul Paulista;984.33;69;336.28;19.49;78.91;6.51;526.71;21.92;54.69;0.4;111.91;5.57
3531605;Monte Castelo;1018.57;34;302.72;14.07;103.64;10.3;546.63;23.29;59.02;0.58;94.1;7.04
3531704;Monteiro Lobato;1886.39;289;381.25;40.56;133.93;8.72;448.65;22.36;51.8;0.73;211.35;37.84
3531803;Monte Mor;1192.05;41;396.9;22.55;91.1;5.99;452.34;24.58;53.13;0.53;129.03;6.36
3531902;Morro Agudo;965.78;47;401.71;25.11;100.42;11.56;422.19;31.42;55.17;0.56;125.9;13.31
3532009;Morungaba;1558.07;118;431.79;10.65;106.85;8.26;411.68;9.33;53.23;0.35;161.42;16.99
3532058;Motuca;1027.52;37;432.54;26.66;87.1;9;397.56;30.07;55.01;0.64;124.88;9.81
3532108;Murutinga do Sul;1023.5;35;273.43;15.53;89.54;6.73;598.23;23.3;56.85;0.54;94.72;5.51
3532157;Nantes;1117.2;62;407.55;22.28;96.74;12.1;414.88;31.42;54.9;0.97;134.33;20.59
3532207;Narandiba;1169.04;53;389.01;24.6;116.95;12.99;445.22;25.95;55.37;0.66;128.09;12.35
3532306;Natividade da Serra;1671.49;169;382.53;25.11;126.94;17.75;443.38;21.18;51.19;0.76;231.24;30.82
3532405;Nazaré Paulista;1797.16;198;432.08;29.91;111.86;12.32;422.83;16.78;52.02;0.65;218.24;34.54
3532504;Neves Paulista;937.77;35;311.79;13.43;78.74;4.28;565.33;30.19;56.24;0.36;102.78;5.61
3532603;Nhandeara;983.29;43;314.68;15.62;85.45;6.63;529.32;26.47;56.1;0.55;102.11;5.08
3532702;Nipoã;937.16;39;317.76;12.27;82.52;7.05;535.36;21.59;56.63;0.46;98.29;4.03
3532801;Nova Aliança;955.11;58;323.62;17.88;77.94;4.42;515.19;26.35;56.53;0.35;101.48;5.11
