CD_MUN;NM_MUN;nitrogen_m;nitrogen_s;clay_mean;clay_sd;cec_mean;cec_sd;sand_mean;sand_sd;ph_mean;ph_sd;soc_mean;soc_sd
3553658;Taquaral;975.02;47;366.5;15.15;71.84;5.12;471.55;22.05;55.15;0.36;120.78;4.19
3553708;Taquaritinga;974.49;49;401.88;24.74;85.09;6.35;431.8;34.52;55.07;0.47;112.99;9.48
3553807;Taquarituba;1380.08;72;379.21;11.63;141.81;11.59;409.21;20.41;54.57;0.96;157.97;16
3553856;Taquarivaí;1473.93;55;374.65;10.14;152.64;11.53;434.53;10.54;54.59;0.92;178.86;13.49
3553906;Tarabai;1119.14;58;381.67;15.34;103.4;10.98;466.86;21.32;55.54;0.56;116.15;5.98
3553955;Tarumã;1209.62;89;441.23;24.45;135.67;12.33;355;37.29;55.19;0.68;136.74;10.67
3554003;Tatuí;1262.92;42;400.32;15.97;102.57;8.1;431.47;20.44;53.53;0.66;140.6;12.42
3554102;Taubaté;1421.89;189;435.95;18.08;116.04;10.4;413.86;15.41;53.21;0.72;168.48;18.52
3554201;Tejupá;1482.57;103;386.12;13.77;125.37;12.03;419.55;18.28;53.73;0.76;179.48;23.04
3554300;Teodoro Sampaio;1157.16;77;356.67;18.15;129.96;13.06;478.22;23.42;58;1.37;131.1;23.54
3554409;Terra Roxa;962.28;33;399.26;15.02;95.12;9.19;426.26;18.09;55.69;0.55;121.68;9.51
3554508;Tietê;1192.8;37;432.46;23.92;99.86;5.81;380.8;25.5;54.09;0.64;132.81;6.79
3554607;Timburi;1527.15;109;399.83;13.08;103.38;7.96;414.63;12.64;54.37;0.71;199.89;39.56
3554656;Torre de Pedra;1393.36;88;415.46;10.47;106.3;7.74;433.72;11.56;53.74;0.43;165.22;15.01
3554706;Torrinha;1296.44;82;418.51;31.86;96.93;9.31;430.52;38.76;53.43;0.48;149.59;14.84
3554755;Trabiju;1135.89;57;429.35;12.8;99.13;9.05;409.5;12.5;54.74;0.55;122.06;12.02
3554805;Tremembé;1522.98;290;414.04;20.29;124.53;12.47;447.41;20.24;52.49;0.99;173.91;36.15
3554904;Três Fronteiras;906.55;33;283.24;12.88;85.2;5.59;578.87;21.58;57.35;0.62;101.15;12.23
3554953;Tuiuti;1593.92;125;435.64;11.77;105.47;5.06;404.05;10.61;52.58;0.47;152.84;14.8
3555000;Tupã;1080.85;45;329.71;16.23;79.09;5.92;493.45;23.52;55.43;0.52;111.07;8.09
3555109;Tupi Paulista;1031.1;36;289.77;12.57;95.39;6.63;586.11;16.86;57.52;0.82;93.61;3.99
3555208;Turiúba;995.88;42;310;20;82;5.75;532.07;25.13;56.81;0.46;103.08;8.59
3555307;Turmalina;904.68;59;305.92;23.71;81.06;3.28;557.06;24.51;56.59;0.36;99.51;5.69
